"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 01 15:03:49 CEST 2022","Wed Jun 01 15:03:58 CEST 2022","8555","Webkit","e2e\products.spec.js","Products:","","","verify all products and detail page",""
"passed","Wed Jun 01 15:03:03 CEST 2022","Wed Jun 01 15:03:09 CEST 2022","5766","Webkit","e2e\login.spec.js","Login user:","","","with incorrect credentials",""
"passed","Wed Jun 01 15:00:29 CEST 2022","Wed Jun 01 15:00:45 CEST 2022","15385","Firefox","e2e\placeOrder.spec.js","Checkout & Payment:","","","place order: login before checkout and download invoice",""
"passed","Mon May 23 14:42:34 CEST 2022","Mon May 23 14:42:43 CEST 2022","8672","Webkit","e2e\products.spec.js","Products:","","","search jeans",""
"passed","Wed Jun 01 15:01:19 CEST 2022","Wed Jun 01 15:01:34 CEST 2022","14398","Firefox","e2e\register.spec.js","Register user:","","","with valid data",""
"passed","Wed Jun 01 15:02:01 CEST 2022","Wed Jun 01 15:02:08 CEST 2022","6876","Webkit","e2e\cart.spec.js","Cart:","","","remove product",""
"passed","Wed Jun 01 14:57:52 CEST 2022","Wed Jun 01 14:58:05 CEST 2022","12751","Chromium","e2e\placeOrder.spec.js","Checkout & Payment:","","","place order: login before checkout and download invoice",""
"passed","Wed Jun 01 15:00:03 CEST 2022","Wed Jun 01 15:00:09 CEST 2022","6022","Firefox","e2e\login.spec.js","Login user:","","","with incorrect credentials",""
"passed","Wed Jun 01 15:02:56 CEST 2022","Wed Jun 01 15:03:03 CEST 2022","7608","Webkit","e2e\login.spec.js","Login user:","","","with correct credentials and logout",""
"passed","Wed Jun 01 15:03:58 CEST 2022","Wed Jun 01 15:04:05 CEST 2022","6657","Webkit","e2e\products.spec.js","Products:","","","search product",""
"passed","Wed Jun 01 14:59:14 CEST 2022","Wed Jun 01 14:59:19 CEST 2022","5365","Firefox","e2e\cart.spec.js","Cart:","","","add to cart from recommended items",""
"passed","Wed Jun 01 15:01:43 CEST 2022","Wed Jun 01 15:01:54 CEST 2022","10783","Webkit","e2e\cart.spec.js","Cart:","","","add random item to cart and verify if is not empty",""
"passed","Wed Jun 01 15:04:21 CEST 2022","Wed Jun 01 15:04:35 CEST 2022","13401","Webkit","e2e\register.spec.js","Register user:","","","with valid data",""
"passed","Wed Jun 01 15:00:54 CEST 2022","Wed Jun 01 15:01:01 CEST 2022","7266","Firefox","e2e\products.spec.js","Products:","","","search product",""
"passed","Wed Jun 01 14:58:52 CEST 2022","Wed Jun 01 14:59:02 CEST 2022","10013","Firefox","e2e\cart.spec.js","Cart:","","","add random item to cart and verify if is not empty",""
"passed","Wed Jun 01 14:57:20 CEST 2022","Wed Jun 01 14:57:23 CEST 2022","3764","Chromium","e2e\homepage.spec.js","Homepage:","","","verify scroll up using arrow",""
"passed","Wed Jun 01 14:58:17 CEST 2022","Wed Jun 01 14:58:25 CEST 2022","7800","Chromium","e2e\products.spec.js","Products:","","","add review on product",""
"passed","Wed Jun 01 14:57:06 CEST 2022","Wed Jun 01 14:57:11 CEST 2022","5261","Chromium","e2e\contactUsForm.spec.js","Contact us:","","","send form with upoaded file",""
"passed","Wed Jun 01 15:02:24 CEST 2022","Wed Jun 01 15:02:29 CEST 2022","5239","Webkit","e2e\checkTestCasePage.spec.js","Test Cases","","","Verify Test Cases Page",""
"passed","Wed Jun 01 14:59:43 CEST 2022","Wed Jun 01 14:59:50 CEST 2022","6508","Firefox","e2e\homepage.spec.js","Homepage:","","","view category products",""
"passed","Wed Jun 01 15:02:08 CEST 2022","Wed Jun 01 15:02:13 CEST 2022","5564","Webkit","e2e\cart.spec.js","Cart:","","","add to cart from recommended items",""
"passed","Wed Jun 01 15:02:29 CEST 2022","Wed Jun 01 15:02:39 CEST 2022","10181","Webkit","e2e\contactUsForm.spec.js","Contact us:","","","send form with upoaded file",""
"passed","Wed Jun 01 14:57:31 CEST 2022","Wed Jun 01 14:57:36 CEST 2022","4611","Chromium","e2e\login.spec.js","Login user:","","","with incorrect credentials",""
"passed","Wed Jun 01 14:59:02 CEST 2022","Wed Jun 01 14:59:08 CEST 2022","6235","Firefox","e2e\cart.spec.js","Cart:","","","verify product quantity",""
"passed","Wed Jun 01 14:58:44 CEST 2022","Wed Jun 01 14:58:49 CEST 2022","5289","Chromium","e2e\register.spec.js","Register user:","","","with existing email",""
"passed","Wed Jun 01 14:56:25 CEST 2022","Wed Jun 01 14:56:34 CEST 2022","9171","Chromium","e2e\cart.spec.js","Cart:","","","add random item to cart and verify if is not empty",""
"passed","Wed Jun 01 15:04:05 CEST 2022","Wed Jun 01 15:04:13 CEST 2022","8311","Webkit","e2e\products.spec.js","Products:","","","add review on product",""
"passed","Wed Jun 01 15:02:39 CEST 2022","Wed Jun 01 15:02:44 CEST 2022","4842","Webkit","e2e\homepage.spec.js","Homepage:","","","verify subscription",""
"passed","Wed Jun 01 14:59:29 CEST 2022","Wed Jun 01 14:59:33 CEST 2022","4654","Firefox","e2e\checkTestCasePage.spec.js","Test Cases","","","Verify Test Cases Page",""
"passed","Wed Jun 01 15:01:54 CEST 2022","Wed Jun 01 15:02:01 CEST 2022","6671","Webkit","e2e\cart.spec.js","Cart:","","","verify product quantity",""
"passed","Wed Jun 01 15:00:09 CEST 2022","Wed Jun 01 15:00:29 CEST 2022","19922","Firefox","e2e\placeOrder.spec.js","Checkout & Payment:","","","place order: register while checkout",""
"passed","Wed Jun 01 14:58:34 CEST 2022","Wed Jun 01 14:58:44 CEST 2022","9882","Chromium","e2e\register.spec.js","Register user:","","","with valid data",""
"passed","Wed Jun 01 14:56:47 CEST 2022","Wed Jun 01 14:56:52 CEST 2022","5373","Chromium","e2e\cart.spec.js","Cart:","","","add to cart from recommended items",""
"passed","Wed Jun 01 15:02:51 CEST 2022","Wed Jun 01 15:02:56 CEST 2022","4131","Webkit","e2e\homepage.spec.js","Homepage:","","","verify scroll up using arrow",""
"passed","Wed Jun 01 15:03:32 CEST 2022","Wed Jun 01 15:03:49 CEST 2022","16796","Webkit","e2e\placeOrder.spec.js","Checkout & Payment:","","","place order: login before checkout and download invoice",""
"passed","Wed Jun 01 14:59:50 CEST 2022","Wed Jun 01 14:59:54 CEST 2022","4389","Firefox","e2e\homepage.spec.js","Homepage:","","","verify scroll up using arrow",""
"passed","Wed Jun 01 14:59:39 CEST 2022","Wed Jun 01 14:59:43 CEST 2022","4550","Firefox","e2e\homepage.spec.js","Homepage:","","","verify subscription",""
"passed","Wed Jun 01 15:00:45 CEST 2022","Wed Jun 01 15:00:54 CEST 2022","9040","Firefox","e2e\products.spec.js","Products:","","","verify all products and detail page",""
"passed","Wed Jun 01 14:59:33 CEST 2022","Wed Jun 01 14:59:39 CEST 2022","5359","Firefox","e2e\contactUsForm.spec.js","Contact us:","","","send form with upoaded file",""
"passed","Wed Jun 01 15:01:10 CEST 2022","Wed Jun 01 15:01:19 CEST 2022","9205","Firefox","e2e\products.spec.js","Products:","","","view & cart brand products",""
"passed","Wed Jun 01 14:59:54 CEST 2022","Wed Jun 01 15:00:03 CEST 2022","8972","Firefox","e2e\login.spec.js","Login user:","","","with correct credentials and logout",""
"passed","Wed Jun 01 14:58:12 CEST 2022","Wed Jun 01 14:58:17 CEST 2022","5579","Chromium","e2e\products.spec.js","Products:","","","search product",""
"broken","Mon May 23 14:36:22 CEST 2022","Mon May 23 14:36:53 CEST 2022","31629","Chromium","e2e\products.spec.js","Products:","","","search jeans",""
"passed","Wed Jun 01 14:57:11 CEST 2022","Wed Jun 01 14:57:14 CEST 2022","2963","Chromium","e2e\homepage.spec.js","Homepage:","","","verify subscription",""
"passed","Wed Jun 01 15:04:35 CEST 2022","Wed Jun 01 15:04:41 CEST 2022","6173","Webkit","e2e\register.spec.js","Register user:","","","with existing email",""
"passed","Wed Jun 01 14:58:25 CEST 2022","Wed Jun 01 14:58:34 CEST 2022","8904","Chromium","e2e\products.spec.js","Products:","","","view & cart brand products",""
"passed","Wed Jun 01 14:57:23 CEST 2022","Wed Jun 01 14:57:31 CEST 2022","7447","Chromium","e2e\login.spec.js","Login user:","","","with correct credentials and logout",""
